,Дата операции,date,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,category,MCC,description,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением,amount,last_digits,total_spent,cashback
109,11.12.2021 12:02:31,11.12.2021,*7197,OK,-51.99,RUB,-51.99,RUB,0.0,Супермаркеты,5411.0,Магнит,1,0,51.99,51.99,7197,51.99,1.0
110,11.12.2021 11:56:44,11.12.2021,*7197,OK,-400.0,RUB,-400.0,RUB,0.0,Различные товары,5948.0,Zhenskiy Trikotazh,8,0,400.0,400.0,7197,400.0,12.0
111,11.12.2021 11:34:56,11.12.2021,*7197,OK,-360.5,RUB,-360.5,RUB,0.0,Аптеки,5912.0,Аптека Вита,7,0,360.5,360.5,7197,360.5,11.0
112,10.12.2021 22:09:33,11.12.2021,*5091,OK,-298.16,RUB,-298.16,RUB,0.0,Каршеринг,7512.0,Ситидрайв,14,0,298.16,298.16,5091,298.16,17.0
113,10.12.2021 18:14:27,10.12.2021,*7197,OK,-83.0,RUB,-83.0,RUB,0.0,Фастфуд,5814.0,McDonald's,1,0,83.0,83.0,7197,83.0,1.0
114,10.12.2021 08:22:22,10.12.2021,*7197,OK,-91.8,RUB,-91.8,RUB,0.0,Супермаркеты,5411.0,Перекрёсток,1,0,91.8,91.8,7197,91.8,1.0
115,09.12.2021 18:56:14,09.12.2021,*5091,OK,-19.73,RUB,-19.73,RUB,0.0,Каршеринг,7512.0,Ситидрайв,0,0,19.73,19.73,5091,19.73,0.0
116,09.12.2021 16:03:32,09.12.2021,*4556,OK,-15.0,RUB,-15.0,RUB,0.0,Косметика,5977.0,Улыбка радуги,0,0,15.0,15.0,4556,15.0,0.0
117,09.12.2021 15:57:27,09.12.2021,*7197,OK,-201.24,RUB,-201.24,RUB,0.0,Супермаркеты,5411.0,Колхоз,4,0,201.24,201.24,7197,201.24,6.0
118,09.12.2021 15:55:37,09.12.2021,*7197,OK,-369.0,RUB,-369.0,RUB,0.0,Супермаркеты,5411.0,Колхоз,7,0,369.0,369.0,7197,369.0,11.0
